"ACTIVE","CATEGORY","DESCRIPTION","EXTERNAL_ID","IMAGE_URL","IS_NEW","NAME","OLD_PRICE","PRICE","RATING","REVIEW_COUNT","STOCK"
"true","LAPTOP","HP 240 G8 Business Laptop laptop","LAP-000418","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367040/tech-store/laptops/template-02.jpg","false","HP 240 G8 Business Laptop","","52999.0","0.0","0","10"
"true","LAPTOP","HP Victus 15-fa0031dx Gaming Laptop laptop","LAP-000419","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367041/tech-store/laptops/template-03.png","false","HP Victus 15-fa0031dx Gaming Laptop","","79888.0","0.0","0","10"
"true","LAPTOP","Lenovo Thinkpad P15v 21AAS05L00 Laptop laptop","LAP-000420","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367043/tech-store/laptops/template-04.png","false","Lenovo Thinkpad P15v 21AAS05L00 Laptop","","159999.0","0.0","0","10"
"true","LAPTOP","Acer Aspire 5 A515-57 2022 Laptop laptop","LAP-000421","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367045/tech-store/laptops/template-05.jpg","false","Acer Aspire 5 A515-57 2022 Laptop","","61990.0","0.0","0","10"
"true","LAPTOP","HP Pavilion x360 14-ek0137TU Laptop laptop","LAP-000422","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367046/tech-store/laptops/template-06.jpg","false","HP Pavilion x360 14-ek0137TU Laptop","","59990.0","0.0","0","10"
"true","LAPTOP","Dell Vostro 3510 ICC-D585046WIN8 Laptop laptop","LAP-000423","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367048/tech-store/laptops/template-07.jpg","false","Dell Vostro 3510 ICC-D585046WIN8 Laptop","","32990.0","0.0","0","10"
"true","LAPTOP","HP 240 G8 4K5D5PA Business Laptop laptop","LAP-000424","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367049/tech-store/laptops/template-08.png","false","HP 240 G8 4K5D5PA Business Laptop","","35000.0","0.0","0","10"
"true","LAPTOP","Lenovo E41-55 82FJ00B5IH Laptop laptop","LAP-000425","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367038/tech-store/laptops/template-01.png","false","Lenovo E41-55 82FJ00B5IH Laptop","","18990.0","0.0","0","10"
"true","LAPTOP","Lenovo E41-55 82FJ00B5IH Laptop laptop","LAP-000426","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367040/tech-store/laptops/template-02.jpg","false","Lenovo E41-55 82FJ00B5IH Laptop","","18990.0","0.0","0","10"
"true","LAPTOP","MSI Katana GF66 12UC-632IN Gaming Laptop laptop","LAP-000427","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367041/tech-store/laptops/template-03.png","false","MSI Katana GF66 12UC-632IN Gaming Laptop","","80990.0","0.0","0","10"
"true","LAPTOP","Lenovo IdeaPad Flex 5 14ALC7 82R9006PIN Laptop laptop","LAP-000428","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367043/tech-store/laptops/template-04.png","false","Lenovo IdeaPad Flex 5 14ALC7 82R9006PIN Laptop","","72690.0","0.0","0","10"
"true","LAPTOP","Lenovo V14 Gen 2 ‎82C40019IX Laptop laptop","LAP-000429","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367045/tech-store/laptops/template-05.jpg","false","Lenovo V14 Gen 2 ‎82C40019IX Laptop","","49999.0","0.0","0","10"
"true","LAPTOP","Asus ROG Strix G15 G513IE-HN088WS Gaming Laptop laptop","LAP-000430","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367046/tech-store/laptops/template-06.jpg","false","Asus ROG Strix G15 G513IE-HN088WS Gaming Laptop","","76990.0","0.0","0","10"
"true","LAPTOP","Asus Vivobook 14 OLED UX3402ZA-KN531WS Laptop laptop","LAP-000431","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367048/tech-store/laptops/template-07.jpg","false","Asus Vivobook 14 OLED UX3402ZA-KN531WS Laptop","","95980.0","0.0","0","10"
"true","LAPTOP","Lenovo IdeaPad Slim 3 82RJ0040IN Laptop laptop","LAP-000432","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367049/tech-store/laptops/template-08.png","false","Lenovo IdeaPad Slim 3 82RJ0040IN Laptop","","52900.0","0.0","0","10"
"true","LAPTOP","Ultimus S151 NU14U2INC43VN-CS Laptop laptop","LAP-000433","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367038/tech-store/laptops/template-01.png","false","Ultimus S151 NU14U2INC43VN-CS Laptop","","19990.0","0.0","0","10"
"true","LAPTOP","HP Pavilion 14-dv2014TU Laptop laptop","LAP-000434","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367040/tech-store/laptops/template-02.jpg","false","HP Pavilion 14-dv2014TU Laptop","","68918.0","0.0","0","10"
"true","LAPTOP","Ultimus S151 NU14U2INC43VD-CS Laptop laptop","LAP-000435","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367041/tech-store/laptops/template-03.png","false","Ultimus S151 NU14U2INC43VD-CS Laptop","","17990.0","0.0","0","10"
"true","LAPTOP","Ultimus S152 NU15U2INC44VN-SG Laptop laptop","LAP-000436","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367043/tech-store/laptops/template-04.png","false","Ultimus S152 NU15U2INC44VN-SG Laptop","","23990.0","0.0","0","10"
"true","LAPTOP","Lenovo Legion S7 82TF007LIN Gaming Laptop laptop","LAP-000437","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367045/tech-store/laptops/template-05.jpg","false","Lenovo Legion S7 82TF007LIN Gaming Laptop","","149990.0","0.0","0","10"
"true","LAPTOP","Acer Aspire 5 A515-57 NX.K2VSI.002 Laptop laptop","LAP-000438","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367046/tech-store/laptops/template-06.jpg","false","Acer Aspire 5 A515-57 NX.K2VSI.002 Laptop","","42990.0","0.0","0","10"
"true","LAPTOP","MSI Stealth GS66 12UGS-290IN Gaming Laptop laptop","LAP-000439","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367048/tech-store/laptops/template-07.jpg","false","MSI Stealth GS66 12UGS-290IN Gaming Laptop","","288990.0","0.0","0","10"
"true","LAPTOP","HP Envy x360 13-AY1065AU Laptop laptop","LAP-000440","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367049/tech-store/laptops/template-08.png","false","HP Envy x360 13-AY1065AU Laptop","","75190.0","0.0","0","10"
"true","LAPTOP","Dell Latitude 14 7420 Laptop laptop","LAP-000441","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367038/tech-store/laptops/template-01.png","false","Dell Latitude 14 7420 Laptop","","98280.0","0.0","0","10"
"true","LAPTOP","Acer Aspire 5 A515-57 Laptop laptop","LAP-000442","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367040/tech-store/laptops/template-02.jpg","false","Acer Aspire 5 A515-57 Laptop","","57990.0","0.0","0","10"
"true","LAPTOP","Lenovo IdeaPad Slim 3 82H802XXIN Laptop laptop","LAP-000443","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367041/tech-store/laptops/template-03.png","false","Lenovo IdeaPad Slim 3 82H802XXIN Laptop","","59290.0","0.0","0","10"
