external_id,name,description,category,price,old_price,stock,image,rating,review_count,is_new,active
LAP-000001,Lenovo V15 ITL G2 82KBA033IH Laptop,Lenovo V15 ITL G2 82KBA033IH Laptop laptop,LAPTOP,33921.0,,10,,0.0,0,False,True
LAP-000002,HP Pavilion 15-ec2004AX Gaming Laptop,HP Pavilion 15-ec2004AX Gaming Laptop laptop,LAPTOP,56150.0,,10,,0.0,0,False,True
LAP-000003,Lenovo V15 82KBA03HIH Laptop,Lenovo V15 82KBA03HIH Laptop laptop,LAPTOP,35499.0,,10,,0.0,0,False,True
LAP-000004,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop laptop,LAPTOP,48990.0,,10,,0.0,0,False,True
LAP-000005,HP 15s-fr4000TU Laptop,HP 15s-fr4000TU Laptop laptop,LAPTOP,52990.0,,10,,0.0,0,False,True
LAP-000006,Lenovo IdeaPad Gaming 3 82K101ECIN Laptop,Lenovo IdeaPad Gaming 3 82K101ECIN Laptop laptop,LAPTOP,56700.0,,10,,0.0,0,False,True
LAP-000007,Infinix Zero Book Ultra Laptop,Infinix Zero Book Ultra Laptop laptop,LAPTOP,87620.0,,10,,0.0,0,False,True
LAP-000008,HP 15s-eq1559AU Laptop,HP 15s-eq1559AU Laptop laptop,LAPTOP,29212.0,,10,,0.0,0,False,True
LAP-000009,Dell Inspiron 3520 Laptop,Dell Inspiron 3520 Laptop laptop,LAPTOP,44087.0,,10,,0.0,0,False,True
LAP-000010,Dell Inspiron 3511 Laptop,Dell Inspiron 3511 Laptop laptop,LAPTOP,38800.0,,10,,0.0,0,False,True
LAP-000011,Asus Vivobook Pro 15 OLED M6500QH-HN701WS Laptop,Asus Vivobook Pro 15 OLED M6500QH-HN701WS Laptop laptop,LAPTOP,65990.0,,10,,0.0,0,False,True
